year,month,supplier,item_code,item_description,item_type,retail_sales,retail_transfers,warehouse_sales,original_description,package_size,total_sales,quarter,operational_activity
2020,3,DC BRAU BREWING LLC,29365,DC BRAU PILS,KEGS,0.0,0.0,2.0,DC BRAU PILS - 1/2K,1/2K,2.0,1,LOW
2020,3,HOME BREW MART INC,29916,BALLAST POINT GRAPEFRUIT SCULPIN,KEGS,0.0,0.0,2.0,BALLAST POINT GRAPEFRUIT SCULPIN 1/2K,1/2K,2.0,1,LOW
2020,3,DOPS INC,29948,CHIMAY BLUE GRAND RESERVE EG,KEGS,0.0,0.0,2.0,CHIMAY BLUE GRAND RESERVE  1/6 KEG,1/6K,2.0,1,LOW
2020,3,ANHEUSER BUSCH INC,30802,ELYSIAN SPACE DUST EG,KEGS,0.0,0.0,6.0,ELYSIAN SPACE DUST 1/2 KEG,1/2K,6.0,1,LOW
2020,3,ANHEUSER BUSCH INC,30818,GOOSE ISLAND BOTTLE NECTAR EG,KEGS,0.0,0.0,1.0,GOOSE ISLAND BOTTLE NECTAR 1/2 KEG,1/2K,1.0,1,LOW
2020,3,FLYING DOG BREWERY LLLP,30870,FLYING DOG BLOODLINE NITRO G,KEGS,0.0,0.0,1.0,FLYING DOG BLOODLINE NITRO 1/2KG,1/2K,1.0,1,LOW
2020,3,BOSTON BEER CORPORATION,31050,DOGFISH HEAD SEAQUENCH ALE G,KEGS,0.0,0.0,3.0,DOGFISH HEAD SEAQUENCH ALE 1/2KG,1/2K,3.0,1,LOW
2020,3,ANHEUSER BUSCH INC,31078,ELYSIAN NIGHT OWL PUMPKIN EG,KEGS,0.0,0.0,-1.0,ELYSIAN NIGHT OWL PUMPKIN 1/2 KEG,1/2K,-1.0,1,LOW
2020,3,BBL INC,346130,DELIRIUM TREMENS EG,KEGS,0.0,0.0,2.0,DELIRIUM TREMENS 1/2 KEG,1/2K,2.0,1,LOW
2020,3,THREE STARS BREWING COMPANY LLC,346814,3 STARS PEPPERCORN SAISON,KEGS,0.0,0.0,1.0,3 STARS PEPPERCORN SAISON - 1/2K,1/2K,1.0,1,LOW
2020,3,LEGENDS LTD,347683,FIRESTONE UNION JACK,KEGS,0.0,0.0,1.0,FIRESTONE UNION JACK 1/6K,1/6K,1.0,1,LOW
2020,3,LEGENDS LTD,347717,FIRESTONE DBA,KEGS,0.0,0.0,1.0,FIRESTONE DBA 1/6K,1/6K,1.0,1,LOW
2020,3,RIGHT FORWARD LLC,348045,RIGHT PROPER HAXAN,KEGS,0.0,0.0,1.0,RIGHT PROPER HAXAN 1/2 K,1/2K,1.0,1,LOW
2020,3,BASQUE BAR LLC,352162,ANXO NEVERTHELESS WE PERSISTED EG,KEGS,0.0,0.0,1.0,ANXO NEVERTHELESS WE PERSISTED 1/6 KEG,1/6K,1.0,1,LOW
