year,month,supplier,item_code,item_description,item_type,retail_sales,retail_transfers,warehouse_sales,original_description,bottle_size,bottle_category,total_sales,quarter,sales_activity
2020,3,MONSIEUR TOUTON SELECTION,33626,TOMAIOLO CHN RIS,WINE,0.0,0.0,3.0,TOMAIOLO CHN RIS - 750ML,750ML,STANDARD,3.0,1,LOW
2020,3,REPUBLIC NATIONAL DISTRIBUTING CO,336298,STARLING CASTLE GEW,WINE,0.0,0.0,2.0,STARLING CASTLE GEW - 750ML,750ML,STANDARD,2.0,1,LOW
2020,3,DIONYSOS IMPORTS INC,336303,LA JARA SPK BRUT ROSE ORG,WINE,0.0,0.0,6.0,LA JARA SPK BRUT ROSE ORG - 750ML,750ML,STANDARD,6.0,1,LOW
2020,3,"THE COUNTRY VINTNER, LLC DBA WINEBOW",336319,MAN VINTNERS PINOTAGE,WINE,0.0,0.0,1.0,MAN VINTNERS PINOTAGE - 750ML,750ML,STANDARD,1.0,1,LOW
2020,3,PWSWN INC,336336,ZORGVLIET SILVERMYN ROSE,WINE,0.34,0.0,5.0,ZORGVLIET SILVERMYN ROSE - 750ML,750ML,STANDARD,5.34,1,LOW
2020,3,PWSWN INC,336345,K CELLARS SYR/CAB,WINE,0.25,0.0,0.0,K CELLARS SYR/CAB - 750ML,750ML,STANDARD,0.25,1,LOW
2020,3,PWSWN INC,336347,K CELLARS CAB,WINE,0.0,0.0,7.0,K CELLARS CAB - 750ML,750ML,STANDARD,7.0,1,LOW
2020,3,PWSWN INC,336349,K CELLARS CHARD,WINE,0.0,0.0,1.0,K CELLARS CHARD - 750ML,750ML,STANDARD,1.0,1,LOW
2020,3,PWSWN INC,336354,K CELLARS MER,WINE,0.0,0.0,1.0,K CELLARS MER - 750ML,750ML,STANDARD,1.0,1,LOW
2020,3,"THE COUNTRY VINTNER, LLC DBA WINEBOW",336361,LE BRUN BRETAGNE CIDER ORG,WINE,0.0,0.0,1.0,LE BRUN BRETAGNE CIDER ORG - 750ML,750ML,STANDARD,1.0,1,LOW
2020,3,BACCHUS IMPORTERS LTD,336396,GLENDALOUGH 13YR SM IRISH WHISKEY,LIQUOR,0.17,0.0,0.0,GLENDALOUGH 13YR SM IRISH WHISKEY - 750ML,750ML,STANDARD,0.17,1,LOW
2020,3,MONSIEUR TOUTON SELECTION,336418,ARCAIA P/GRIG,WINE,0.0,0.0,1.0,ARCAIA P/GRIG - 1.5L,1.5L,LARGE,1.0,1,LOW
2020,3,RELIABLE CHURCHILL LLLP,336427,SWEETLAND CELLARS JAZZ BERRY,WINE,0.32,0.0,1.0,SWEETLAND CELLARS JAZZ BERRY - 750ML,750ML,STANDARD,1.32,1,LOW
